college_code,college_name,city,district,region,college_type,government_or_private,autonomous,minority_status
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Jalna,Jalna,Marathwada,,,,
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Dharashiv,Dharashiv,Marathwada,,,,
2189,"Vishweshwarayya Institute Of Engineering And Technology, Almala, Tq. Ausa, Dist. Latur",Almala,Chhatrapati Sambhajinagar,Marathwada,,,,
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Parbhani,Parbhani,Marathwada,,,,
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Latur,Latur,Marathwada,,,,
2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Beed,Beed,Marathwada,,,,
2282,"Mitthulalji Sarada Institute Of Technology, Nalwandi Road, Beed",Beed,Beed,Marathwada,,,,
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Nanded,Nanded,Marathwada,,,,
2516,International Centre Of Excellence In Engineering and Management (ICEEM),Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Latur,Latur,Marathwada,,,,
2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2634,"Eaglewood Polytechnic Institute, A.P Phulepimpalgaon",Phule Pimpalgaon,Chhatrapati Sambhajinagar,Marathwada,,,,
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Nanded,Nanded,Marathwada,,,,
2641,Dr. V.K. Patil College of Engineering & Technology,Nashik,Nashik,North Maharashtra,,,,
2666,Mangaldeep College of Engineering,Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2758,Sant Eknath College of Engineering,Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2770,"Shetkari Shikshan Prasarak Mandal's Mahesh Institute of Engineering and Technology , Ashti",Ashti,Chhatrapati Sambhajinagar,Marathwada,,,,
2771,Amolak College of Engineering Kada,Kada,Chhatrapati Sambhajinagar,Marathwada,,,,
2772,JSPM College of Engineering,Latur,Latur,Marathwada,,,,
2772,"JSPM College of Engineering, Latur",Latur,Latur,Marathwada,,,,
